0
//Year   Month   Day   DoW   Hour   Minute   Second
*        *       *     *     6      0        0
*        *       *     *     14     0        0
*        *       *     *     22     0        0
end

1
//Group   ObeliskMapN   ObeliskMapX   ObeliskMapY   SpawnRate
0	  92            89            41            50
1	  92            188           101           50
2         96            162           54            50
end

2
//Index   Group   SpawnMinute
0	  0	  0
0	  1	  20
1	  0	  0
1	  1	  20
2	  0	  0
2	  1	  20
end

3
//Index   Group   Class   Count   MapSX   MapSY   MapTX   MapTY
0         0       632     5       84      36      94      46
0         0       633     5       84      36      94      46
0         0       634     5       84      36      94      46
0         0       635     5       84      36      94      46
0         0       636     5       84      36      94      46
0         1       637     5       84      36      94      46
0         1       638     5       84      36      94      46
0         1       639     5       84      36      94      46
0         1       640     5       84      36      94      46
0         1       641     5       84      36      94      46
1         0       632     5       183     96      193     106
1         0       633     5       183     96      193     106
1         0       634     5       183     96      193     106
1         0       635     5       183     96      193     106
1         0       636     5       183     96      193     106
1         1       637     5       183     96      193     106
1         1       638     5       183     96      193     106
1         1       639     5       183     96      193     106
1         1       640     5       183     96      193     106
1         1       641     5       183     96      193     106
2         0       632     5       157     49      167     59
2         0       633     5       157     49      167     59
2         0       634     5       157     49      167     59
2         0       635     5       157     49      167     59
2         0       636     5       157     49      167     59
2         1       637     5       157     49      167     59
2         1       638     5       157     49      167     59
2         1       639     5       157     49      167     59
2         1       640     5       157     49      167     59
2         1       641     5       157     49      167     59
end
