0
//Year   Month   Day   DoW   Hour   Minute   Second
*        *       *     *     4      0        0
*        *       *     *     12     0        0
*        *       *     *     20     0        0
end

1
//Group   SpawnRate
0	  50
1	  50
end

2
//Index   Group   SpawnMinute
0	  0	  0
0	  1	  10
0	  2	  20
1	  0	  0
1	  1	  10
1	  2	  20
end

3
//Index   Group   Class   Count   MapSX   MapSY   MapTX   MapTY
0         0       39      15      60      28      132     73
0         0       34      15      60      28      132     73
0         0       41      15      60      28      132     73
0         0       37      15      60      28      132     73
0         0       40      15      60      28      132     73
0         0       35      15      60      28      132     73
0         0       51      15      60      28      132     73
0         0       52      15      60      28      132     73
0         0       48      15      60      28      132     73
0         0       62      15      60      28      132     73
0         1       69      15      60      58      132     101
0         1       60      15      60      58      132     101
0         1       71      15      60      58      132     101
0         1       57      15      60      58      132     101
0         1       70      15      60      58      132     101
0         1       58      15      60      58      132     101
0         1       61      15      60      58      132     101
0         1       73      15      60      58      132     101
0         1       74      15      60      58      132     101
0         1       72      15      60      58      132     101
0         2       49      10      60      58      132     101
0         2       139     10      60      58      132     101
0         2       123     10      60      58      132     101
0         2       59      10      60      58      132     101
0         2       74      10      60      58      132     101
0         2       62      10      60      58      132     101
0         2       293     10      60      58      132     101
0         2       292     10      60      58      132     101
0         2       291     10      60      58      132     101
0         2       295     1       60      58      132     101
1         0       39      15      60      28      132     73
1         0       34      15      60      28      132     73
1         0       41      15      60      28      132     73
1         0       37      15      60      28      132     73
1         0       40      15      60      28      132     73
1         0       35      15      60      28      132     73
1         0       51      15      60      28      132     73
1         0       52      15      60      28      132     73
1         0       48      15      60      28      132     73
1         0       62      15      60      28      132     73
1         1       294     15      60      58      132     101
1         1       290     15      60      58      132     101
1         1       193     15      60      58      132     101
1         1       194     15      60      58      132     101
1         1       192     15      60      58      132     101
1         1       190     15      60      58      132     101
1         1       195     15      60      58      132     101
1         1       61      15      60      58      132     101
1         1       73      15      60      58      132     101
1         1       127     15      60      58      132     101
1         2       49      10      60      58      132     101
1         2       139     10      60      58      132     101
1         2       123     10      60      58      132     101
1         2       59      10      60      58      132     101
1         2       74      10      60      58      132     101
1         2       62      10      60      58      132     101
1         2       293     10      60      58      132     101
1         2       292     10      60      58      132     101
1         2       291     10      60      58      132     101
1         2       295     1       60      58      132     101
end
