0
//ServerCode   MapServerGroup   InitSetVal   IpAddress         Port
0	       0	        1	     "51.79.116.137"       55900
19	       0	        0	     "51.79.116.137"       55919
end

1
//ServerCode   NotMoveOption   NextMap   NextServerCode
0	       0	       9         19
0	       0	       11        19
0	       0	       12        19
0	       0	       13        19
0	       0	       14        19
0	       0	       15        19
0	       0	       16        19
0	       0	       17        19
0	       0	       18        19
0	       0	       19        19
0	       0	       20        19
0	       0	       21        19
0	       0	       22        19
0	       0	       23        19
0	       0	       30        19
0	       0	       31        19
0	       0	       32        19
0	       0	       34        19
0	       0	       41        19
0	       0	       42        19
0	       0	       45        19
0	       0	       46        19
0	       0	       47        19
0	       0	       48        19
0	       0	       49        19
0	       0	       50        19
0	       0	       52        19
0	       0	       53        19
0	       0	       69        19
0	       0	       70        19
0	       0	       71        19
0	       0	       72        19
0	       0	       79        19
0	       0	       82        19
0	       0	       83        19
0	       0	       84        19
0	       0	       85        19
0	       0	       86        19
0	       0	       87        19
0	       0	       88        19
0	       0	       89        19
0	       0	       90        19
0	       0	       92        19
0	       0	       96        19
0	       0	       101       19
0	       0	       114       19
0	       0	       115       19
0	       0	       121       19
19	       1	       9         -1
19	       1	       11        -1
19	       1	       12        -1
19	       1	       13        -1
19	       1	       14        -1
19	       1	       15        -1
19	       1	       16        -1
19	       1	       17        -1
19	       1	       18        -1
19	       1	       19        -1
19	       1	       20        -1
19	       1	       21        -1
19	       1	       22        -1
19	       1	       23        -1
19	       1	       30        -1
19	       1	       31        -1
19	       1	       32        -1
19	       1	       34        -1
19	       1	       41        -1
19	       1	       42        -1
19	       1	       45        -1
19	       1	       46        -1
19	       1	       47        -1
19	       1	       48        -1
19	       1	       49        -1
19	       1	       50        -1
19	       1	       52        -1
19	       1	       53        -1
19	       1	       69        -1
19	       1	       70        -1
19	       1	       71        -1
19	       1	       72        -1
19	       1	       79        -1
19	       1	       82        -1
19	       1	       83        -1
19	       1	       84        -1
19	       1	       85        -1
19	       1	       86        -1
19	       1	       87        -1
19	       1	       88        -1
19	       1	       89        -1
19	       1	       90        -1
19	       1	       92        -1
19	       1	       96        -1
19	       1	       101       -1
19	       1	       114       -1
19	       1	       115       -1
19	       1	       121       -1
end
